Product_id,Product_Name,Category,Price,Image_link,Product_link
77,MEN'S SPORTS SHOES EX-PG-3202,urbansole-footwear,"Current price

Rs.13,199",https://www.urbansole.com.pk/cdn/shop/files/EX-PG-3202Black_700x700.jpg?v=1704719937,https://www.urbansole.com.pk/collections/urbansole-footwear/products/ex-pg-3202
78,Horizon EX-PG-3201,urbansole-footwear,"Current price

Rs.14,399",https://www.urbansole.com.pk/cdn/shop/files/EX-PG-3201Black_702x700.jpg?v=1704714888,https://www.urbansole.com.pk/collections/urbansole-footwear/products/ex-pg-3201
79,Eclipse US-GV-3102,urbansole-footwear,"Current price

Rs.6,999",https://www.urbansole.com.pk/cdn/shop/files/US-GV-3102Black_700x700.jpg?v=1705203699,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-gv-3102
80,Dice PC-JK-3307,urbansole-footwear,"Rs.6,195",https://www.urbansole.com.pk/cdn/shop/files/PC-JK-3307Black_700x700.jpg?v=1705418938,https://www.urbansole.com.pk/collections/urbansole-footwear/products/pc-jk-3307
81,Cosmora US-FX-3105,urbansole-footwear,"Rs.8,499",https://www.urbansole.com.pk/cdn/shop/files/US-FX-3105M-Brown_700x700.jpg?v=1704704124,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-fx-3105
82,Sailor US-FX-3104,urbansole-footwear,"Rs.8,499",https://www.urbansole.com.pk/cdn/shop/files/US-FX-3104Black_700x700.jpg?v=1704704752,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-fx-3104
83,Imperium US-FX-3103,urbansole-footwear,"Rs.8,499",https://www.urbansole.com.pk/cdn/shop/files/US-FX-3103Black_b8d2890a-9249-4471-b5eb-fec4b6c1134b_700x700.jpg?v=1704704515,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-fx-3103
84,Czar US-FX-3102,urbansole-footwear,"Rs.8,499",https://www.urbansole.com.pk/cdn/shop/files/US-FX-3102Black_a98aced0-8faa-423c-85d5-903d851e2503_700x700.jpg?v=1704449651,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-fx-3102
85,Victor US-FX-3101,urbansole-footwear,"Current price

Rs.5,949",https://www.urbansole.com.pk/cdn/shop/files/US-FX-3101Tan_700x700.jpg?v=1704704426,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-fx-3101
86,Explorer US-GV-3152,urbansole-footwear,"Rs.9,999",https://www.urbansole.com.pk/cdn/shop/files/US-GV-3152Black_700x700.jpg?v=1705203790,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-gv-3152
87,Gust US-GV-3151,urbansole-footwear,"Rs.9,999",https://www.urbansole.com.pk/cdn/shop/files/US-GV-3151Navy_700x700.jpg?v=1705203881,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-gv-3151
88,Roadster US-GV-3103,urbansole-footwear,"Current price

Rs.6,999",https://www.urbansole.com.pk/cdn/shop/files/US-GV-3103Olive_700x700.jpg?v=1705204080,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-gv-3103
89,Wanderer US-GV-3101,urbansole-footwear,"Rs.11,999",https://www.urbansole.com.pk/cdn/shop/files/US-GV-3101Black_700x700.jpg?v=1705204139,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-gv-3101
90,Lawrence PC-ST-3105,urbansole-footwear,"Rs.8,195",https://www.urbansole.com.pk/cdn/shop/files/PC-ST-3105Beige_700x700.jpg?v=1705420812,https://www.urbansole.com.pk/collections/urbansole-footwear/products/pc-st-3105
91,Vincent PC-ST-3104,urbansole-footwear,"Rs.8,195",https://www.urbansole.com.pk/cdn/shop/files/PC-ST-3104Black_700x700.jpg?v=1705419070,https://www.urbansole.com.pk/collections/urbansole-footwear/products/pc-st-3104
92,Regal PC-ST-3103,urbansole-footwear,"Current price

Rs.5,737",https://www.urbansole.com.pk/cdn/shop/files/PC-ST-3103Black_700x700.jpg?v=1705420428,https://www.urbansole.com.pk/collections/urbansole-footwear/products/pc-st-3103
93,Winston PC-ST-3102,urbansole-footwear,"Rs.8,195",https://www.urbansole.com.pk/cdn/shop/files/PC-ST-3102Black_700x700.jpg?v=1705420363,https://www.urbansole.com.pk/collections/urbansole-footwear/products/pc-st-3102
94,Arthur PC-ST-3101,urbansole-footwear,"Rs.8,195",https://www.urbansole.com.pk/cdn/shop/files/PC-ST-3101Black_700x700.jpg?v=1705419176,https://www.urbansole.com.pk/collections/urbansole-footwear/products/pc-st-3101
95,Lord PC-JK-3308,urbansole-footwear,"Rs.6,195",https://www.urbansole.com.pk/cdn/shop/files/PC-JK-3308Black_700x700.jpg?v=1705419238,https://www.urbansole.com.pk/collections/urbansole-footwear/products/pc-jk-3308
96,PESHAWARI US-PW-2334,urbansole-footwear,"Current price

Rs.3,289",https://www.urbansole.com.pk/cdn/shop/files/US-PW-2334Black_700x700.jpg?v=1705229696,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-pw-2334
97,PESHAWARI US-PW-2331,urbansole-footwear,"Current price

Rs.3,639",https://www.urbansole.com.pk/cdn/shop/files/US-PW-2331Black_700x700.jpg?v=1705229769,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-pw-2331
98,PESHAWARI US-PW-2104,urbansole-footwear,"Current price

Rs.4,339",https://www.urbansole.com.pk/cdn/shop/files/US-PW-2104Black_700x700.jpg?v=1705229842,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-pw-2104
99,SANDAL US-ML-2102,urbansole-footwear,"Rs.5,899",https://www.urbansole.com.pk/cdn/shop/files/US-ML-2102Black_700x700.jpg?v=1705489252,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-ml-2102
100,SANDAL US-ML-2101,urbansole-footwear,"Rs.6,399",https://www.urbansole.com.pk/cdn/shop/files/US-ML-2101Black_700x700.jpg?v=1705489292,https://www.urbansole.com.pk/collections/urbansole-footwear/products/us-ml-2101
101,SANDAL RK-2302,urbansole-footwear,"Current price

Rs.3,287",https://www.urbansole.com.pk/cdn/shop/files/RK-2302Char-Grey_700x700.jpg?v=1705489354,https://www.urbansole.com.pk/collections/urbansole-footwear/products/rk-2302
102,SANDAL RF-2153,urbansole-footwear,"Rs.6,199",https://www.urbansole.com.pk/cdn/shop/files/RF-2153Black_700x700.jpg?v=1705489406,https://www.urbansole.com.pk/collections/urbansole-footwear/products/rf-2153
103,SANDAL RF-2152,urbansole-footwear,"Rs.6,199",https://www.urbansole.com.pk/cdn/shop/files/RF-2152Black_700x700.jpg?v=1705489536,https://www.urbansole.com.pk/collections/urbansole-footwear/products/rf-2152
104,Atticus PC-AB-2101,urbansole-footwear,"Current price

Rs.3,948",https://www.urbansole.com.pk/cdn/shop/files/PC-AB-2101Black_700x700.jpg?v=1705419342,https://www.urbansole.com.pk/collections/urbansole-footwear/products/pc-ab-2101
105,SANDAL KT-2153,urbansole-footwear,"Current price

Rs.2,800",https://www.urbansole.com.pk/cdn/shop/files/KT-2153Navy_700x700.jpg?v=1705489874,https://www.urbansole.com.pk/collections/urbansole-footwear/products/kt-2153
106,Caspian FM-3303,urbansole-footwear,"Current price

Rs.5,179",https://www.urbansole.com.pk/cdn/shop/files/FM-3303Black_700x700.jpg?v=1705416604,https://www.urbansole.com.pk/collections/urbansole-footwear/products/fm-3303
107,Versátil FM-3302,urbansole-footwear,"Current price

Rs.5,179",https://www.urbansole.com.pk/cdn/shop/files/FM-3302Black_700x700.jpg?v=1705416695,https://www.urbansole.com.pk/collections/urbansole-footwear/products/fm-3302
108,Malve FM-3301,urbansole-footwear,"Rs.7,399",https://www.urbansole.com.pk/cdn/shop/files/FM-3301Black_700x700.jpg?v=1705416759,https://www.urbansole.com.pk/collections/urbansole-footwear/products/fm-3301
109,SLIDER US-PL-2302,urbansole-footwear,"Rs.2,399",https://www.urbansole.com.pk/cdn/shop/files/US-PL-2302Blue-White1_700x700.jpg?v=1705139910,https://www.urbansole.com.pk/collections/urbansole-footwear/products/slider-us-pl-2302
